'seconds','uV','uV','uV','uV','uV',''
36.993,-63.601,2.000,4.100,2.400,-4.300,0.500
36.994,-63.101,2.600,4.300,2.400,-3.400,0.500
36.995,-63.201,2.900,4.100,2.600,-2.400,0.500
36.996,-63.901,2.800,3.900,2.700,-1.800,0.500
36.997,-64.801,2.300,4.100,2.500,-1.700,0.500
36.998,-65.001,1.700,5.000,1.800,-2.000,0.500
36.999,-64.101,1.100,6.400,0.700,-2.300,0.500
37.000,-62.301,0.700,7.900,-0.400,-2.300,0.500
37.001,-60.401,0.600,8.800,-0.900,-1.700,0.500
37.002,-59.201,0.800,9.000,-0.300,-0.900,0.500
37.003,-58.901,1.300,8.400,1.400,0.000,0.500
37.004,-59.101,2.100,7.200,3.500,0.300,0.500
37.005,-59.301,2.900,5.700,5.200,-0.100,0.500
37.006,-59.101,3.200,3.800,5.600,-1.200,0.500
37.007,-58.601,2.900,1.900,4.700,-2.700,0.500
37.008,-58.201,2.000,0.000,2.900,-4.000,0.500
37.009,-58.101,0.900,-1.300,1.100,-4.700,0.500
37.010,-58.301,0.200,-1.800,0.200,-4.600,0.500
37.011,-58.601,0.300,-1.600,0.400,-4.100,0.500
37.012,-59.201,1.100,-1.100,1.400,-3.600,0.500
37.013,-60.101,2.200,-0.600,2.400,-3.600,0.500
37.014,-61.601,3.000,-0.500,2.600,-4.200,0.500
37.015,-63.701,3.100,-0.700,2.000,-5.100,0.500
37.016,-65.901,2.700,-0.600,0.900,-5.800,0.500
37.017,-67.401,2.100,0.100,0.000,-5.700,0.500
37.018,-67.601,1.900,1.700,-0.200,-4.900,0.500
37.019,-66.301,2.500,3.900,0.300,-3.900,0.500
37.020,-64.001,3.600,5.900,1.000,-3.100,0.500
37.021,-61.601,4.700,7.200,1.300,-3.100,0.500
37.022,-59.801,5.400,7.700,0.900,-3.700,0.500
37.023,-58.801,5.500,7.800,0.000,-4.500,0.500
37.024,-58.801,5.400,7.900,-0.800,-4.700,0.500
37.025,-59.201,5.300,8.400,-1.100,-4.000,0.500
37.026,-59.601,5.600,9.300,-0.800,-2.600,0.500
37.027,-59.801,6.000,10.100,-0.100,-1.100,0.500
37.028,-59.801,6.300,10.400,0.200,-0.200,0.500
37.029,-59.401,6.000,9.800,-0.200,-0.300,0.500
37.030,-58.801,5.100,8.600,-1.300,-1.300,0.500
37.031,-58.201,3.700,7.200,-2.500,-2.700,0.500
37.032,-57.701,2.500,6.100,-3.200,-3.900,0.500
37.033,-57.601,1.800,5.500,-3.200,-4.600,0.500
37.034,-58.101,2.000,5.400,-2.300,-4.700,0.500
37.035,-58.901,2.700,5.400,-1.000,-4.600,0.500
37.036,-59.401,3.500,5.100,0.300,-4.300,0.500
37.037,-59.001,3.900,4.500,1.200,-4.200,0.500
37.038,-57.501,3.700,3.600,1.500,-4.100,0.500
37.039,-55.401,3.100,2.300,1.400,-4.100,0.500
37.040,-53.901,2.400,1.000,0.900,-4.100,0.500
37.041,-54.001,1.800,-0.200,0.200,-4.100,0.500
37.042,-56.001,1.400,-1.500,-0.500,-4.100,0.500
37.043,-59.101,1.000,-2.800,-1.300,-4.200,0.500
37.044,-61.901,0.500,-4.100,-1.900,-4.300,0.500
37.045,-62.701,-0.100,-5.300,-2.400,-4.700,0.500
37.046,-61.001,-0.800,-6.200,-2.700,-5.100,0.500
37.047,-57.501,-1.500,-6.600,-2.800,-5.500,0.500
37.048,-53.801,-1.900,-6.400,-2.600,-5.600,0.500
37.049,-51.501,-2.100,-5.600,-2.100,-5.400,0.500
37.050,-51.301,-2.000,-4.500,-1.400,-4.700,0.500
37.051,-52.701,-1.600,-3.300,-0.500,-3.600,0.500
37.052,-54.601,-1.200,-2.200,0.400,-2.500,0.500
37.053,-55.701,-0.700,-1.100,1.200,-1.800,0.500
37.054,-55.801,-0.300,0.000,1.700,-1.700,0.500
37.055,-55.101,0.100,1.000,2.000,-2.200,0.500
37.056,-54.501,0.500,2.000,2.100,-2.900,0.500
37.057,-54.601,1.000,2.800,2.100,-3.400,0.500
37.058,-55.301,1.600,3.300,2.200,-3.500,0.500
37.059,-56.601,2.200,3.700,2.300,-2.900,0.500
37.060,-57.801,3.000,3.900,2.300,-1.900,0.500
37.061,-58.701,3.700,4.300,2.200,-0.900,0.500
37.062,-59.001,4.700,4.900,2.000,-0.200,0.500
37.063,-58.401,5.800,5.700,1.800,-0.100,0.500
37.064,-56.701,7.100,6.400,1.600,-0.600,0.500
37.065,-53.901,8.100,6.400,1.400,-1.500,0.500
37.066,-50.501,8.600,5.700,0.900,-2.600,0.500
37.067,-47.701,8.100,4.300,0.200,-3.800,0.500
37.068,-46.701,6.600,2.600,-1.000,-4.700,0.500
37.069,-48.001,4.400,0.900,-2.200,-5.400,0.500
37.070,-51.001,2.200,-0.300,-3.100,-5.800,0.500
37.071,-54.301,0.600,-0.900,-3.500,-6.000,0.500
37.072,-56.101,0.100,-1.100,-3.200,-6.100,0.500
37.073,-55.701,0.600,-0.800,-2.300,-6.200,0.500
37.074,-53.501,1.600,-0.500,-1.500,-6.200,0.500
37.075,-50.701,2.500,-0.100,-1.000,-6.300,0.500
37.076,-48.601,2.900,0.200,-1.100,-6.500,0.500
37.077,-47.601,2.600,0.100,-1.700,-6.600,0.500
37.078,-47.701,1.900,-0.400,-2.400,-6.700,0.500
37.079,-48.401,1.200,-1.100,-3.000,-6.600,0.500
37.080,-49.301,0.900,-2.100,-3.100,-6.200,0.500
37.081,-50.101,0.900,-2.900,-2.700,-5.500,0.500
37.082,-50.801,1.000,-3.500,-2.100,-4.800,0.500
37.083,-51.101,0.900,-3.800,-1.400,-4.300,0.500
37.084,-51.101,0.500,-3.700,-0.800,-4.000,0.500
37.085,-50.601,-0.100,-3.300,-0.200,-4.100,0.500
37.086,-50.101,-0.500,-2.900,0.200,-4.300,0.500
37.087,-50.201,-0.600,-2.600,0.300,-4.700,0.500
37.088,-50.901,-0.400,-2.300,-0.200,-4.900,0.500
37.089,-51.601,-0.100,-2.100,-1.300,-5.100,0.500
37.090,-51.101,0.100,-2.100,-2.800,-5.200,0.500
37.091,-48.901,-0.100,-2.200,-4.000,-5.600,0.500
37.092,-45.101,-0.600,-2.400,-4.600,-6.100,0.500
37.093,-41.301,-1.000,-2.900,-4.100,-6.700,0.500
37.094,-39.401,-1.200,-3.400,-2.900,-7.100,0.500
37.095,-40.301,-1.100,-4.100,-1.600,-7.100,0.500
37.096,-43.601,-0.900,-4.500,-0.700,-6.800,0.500
37.097,-47.601,-0.900,-4.600,-0.500,-6.100,0.500
37.098,-50.201,-1.000,-4.100,-0.800,-5.400,0.500
37.099,-50.101,-1.300,-3.000,-1.300,-4.700,0.500
37.100,-47.601,-1.500,-1.700,-1.400,-4.400,0.500
37.101,-44.101,-1.400,-0.500,-1.200,-4.600,0.500
37.102,-41.101,-0.900,0.100,-0.800,-5.200,0.500
37.103,-39.801,-0.400,-0.100,-0.700,-6.100,0.500
37.104,-40.401,-0.200,-0.900,-1.000,-6.800,0.500
37.105,-42.001,-0.500,-1.800,-1.700,-7.100,0.500
37.106,-43.701,-1.400,-2.600,-2.500,-6.600,0.500
37.107,-44.501,-2.400,-2.700,-3.000,-5.700,0.500
37.108,-44.101,-3.200,-2.200,-3.100,-4.400,0.500
37.109,-42.501,-3.300,-1.400,-3.000,-3.500,0.500
37.110,-40.401,-2.700,-0.400,-2.600,-3.100,0.500
37.111,-38.701,-1.600,0.300,-2.200,-3.100,0.500
37.112,-37.901,-0.400,0.600,-1.800,-3.400,0.500
37.113,-38.301,0.500,0.500,-1.100,-3.300,0.500
37.114,-39.601,0.900,0.300,-0.100,-2.900,0.500
37.115,-40.901,1.000,0.100,1.000,-2.200,0.500
37.116,-41.701,0.900,-0.100,2.100,-1.600,0.500
37.117,-41.601,1.000,-0.200,2.800,-1.700,0.500
37.118,-40.701,1.400,-0.500,2.900,-2.400,0.500
37.119,-39.301,1.700,-0.900,2.600,-3.500,0.500
37.120,-37.901,1.900,-1.400,2.300,-4.400,0.500
37.121,-36.801,1.800,-1.800,2.000,-4.700,0.500
37.122,-36.101,1.500,-1.900,2.000,-4.500,0.500
37.123,-36.001,1.100,-1.700,2.000,-4.100,0.500
37.124,-36.301,1.000,-1.200,1.900,-3.900,0.500
37.125,-37.201,1.100,-0.700,1.400,-4.300,0.500
37.126,-38.401,1.500,-0.400,0.700,-5.200,0.500
37.127,-39.601,1.800,-0.200,0.100,-6.200,0.500
37.128,-40.401,1.900,-0.100,-0.100,-7.000,0.500
37.129,-40.501,1.700,0.200,0.100,-7.300,0.500
37.130,-39.701,1.400,0.700,0.800,-7.100,0.500
37.131,-38.201,1.400,1.400,1.600,-6.600,0.500
37.132,-36.401,1.700,2.100,2.100,-5.900,0.500
37.133,-35.001,2.200,2.600,2.100,-5.400,0.500
37.134,-34.301,2.800,3.000,1.600,-5.000,0.500
37.135,-34.501,3.200,3.100,0.800,-4.900,0.500
37.136,-35.301,3.400,3.200,0.200,-5.000,0.500
37.137,-36.201,3.400,3.200,0.100,-5.300,0.500
37.138,-36.801,3.300,3.000,0.300,-5.500,0.500
37.139,-36.801,3.300,2.400,0.600,-5.700,0.500
37.140,-36.501,3.200,1.600,0.700,-5.700,0.500
37.141,-36.001,3.000,0.700,0.300,-5.400,0.500
37.142,-35.401,2.600,0.100,-0.400,-5.100,0.500
37.143,-34.901,2.100,0.000,-1.000,-4.900,0.500
37.144,-34.401,1.800,0.300,-1.300,-5.000,0.500
37.145,-34.101,1.800,0.900,-1.100,-5.300,0.500
37.146,-34.301,2.200,1.400,-0.400,-5.700,0.500
37.147,-35.201,2.800,1.700,0.500,-5.800,0.500
37.148,-36.801,3.500,1.800,1.300,-5.300,0.500
37.149,-38.601,4.100,1.800,2.000,-4.200,0.500
37.150,-39.901,4.500,1.800,2.600,-2.500,0.500
37.151,-40.301,5.100,1.900,3.100,-0.600,0.500
37.152,-39.801,5.900,1.900,3.400,1.100,0.500
37.153,-38.901,7.200,1.900,3.500,2.300,0.500
37.154,-38.401,8.600,1.900,3.300,2.700,0.500
37.155,-38.301,9.800,1.900,3.000,2.300,0.500
37.156,-38.301,10.300,2.100,2.700,1.200,0.500
37.157,-38.201,10.100,1.900,2.500,-0.400,0.500
37.158,-38.001,9.300,1.200,2.100,-2.300,0.500
37.159,-38.201,7.900,-0.500,1.400,-4.300,0.500
37.160,-39.501,6.500,-2.900,0.300,-5.900,0.500
37.161,-42.301,5.000,-5.500,-1.000,-7.100,0.500
37.162,-45.601,3.700,-7.600,-2.000,-7.600,0.500
37.163,-47.901,2.500,-8.600,-2.500,-7.800,0.500
37.164,-47.501,1.600,-8.300,-2.300,-7.800,0.500
37.165,-44.001,0.800,-7.400,-1.900,-8.100,0.500
37.166,-38.801,0.100,-6.500,-1.700,-8.700,0.500
37.167,-34.501,-0.700,-6.300,-2.100,-9.500,0.500
37.168,-33.301,-1.700,-6.900,-3.100,-10.200,0.500
37.169,-35.801,-2.700,-7.800,-4.200,-10.600,0.500
37.170,-40.501,-3.700,-8.300,-4.700,-10.600,0.500
37.171,-44.801,-4.500,-7.900,-4.400,-10.200,0.500
37.172,-46.401,-4.900,-6.600,-3.500,-9.600,0.500
37.173,-44.901,-4.900,-4.900,-2.400,-9.100,0.500
37.174,-41.501,-4.600,-3.700,-1.700,-8.600,0.500
37.175,-38.801,-4.300,-3.200,-1.600,-8.200,0.500
37.176,-38.201,-4.100,-3.500,-2.100,-7.900,0.500
37.177,-39.901,-4.000,-3.900,-2.400,-7.600,0.500
37.178,-42.301,-4.000,-3.800,-2.400,-7.100,0.500
37.179,-43.601,-4.000,-2.600,-1.800,-6.600,0.500
37.180,-42.501,-4.200,-0.500,-1.000,-6.100,0.500
37.181,-39.401,-4.700,2.100,-0.400,-6.000,0.500
37.182,-35.801,-5.400,4.300,-0.500,-6.400,0.500
37.183,-33.401,-6.400,5.500,-1.100,-7.400,0.500
37.184,-33.201,-7.200,5.700,-1.900,-8.600,0.500
37.185,-34.701,-7.600,5.100,-2.400,-9.600,0.500
37.186,-36.901,-7.200,4.400,-2.200,-10.100,0.500
37.187,-38.701,-6.300,4.100,-1.500,-9.800,0.500
37.188,-39.501,-4.900,4.500,-0.700,-9.100,0.500
37.189,-39.501,-3.700,5.200,-0.200,-8.300,0.500
37.190,-39.201,-3.000,5.700,-0.200,-7.700,0.500
37.191,-39.201,-2.800,5.200,-0.500,-7.400,0.500
37.192,-39.501,-3.000,3.800,-1.000,-7.200,0.500
37.193,-39.901,-3.400,1.800,-1.300,-7.000,0.500
37.194,-39.901,-3.500,-0.200,-1.300,-6.900,0.500
37.195,-39.501,-3.300,-1.500,-1.200,-7.000,0.500
37.196,-38.801,-2.800,-1.700,-1.200,-7.500,0.500
37.197,-38.401,-2.300,-1.100,-1.500,-8.100,0.500
37.198,-38.501,-2.000,-0.200,-1.900,-8.500,0.500
37.199,-39.101,-2.000,0.500,-2.200,-8.400,0.500
37.200,-39.901,-2.200,0.700,-2.300,-7.800,0.500
37.201,-40.301,-2.600,0.700,-2.000,-7.100,0.500
37.202,-39.901,-2.800,0.700,-1.500,-6.600,0.500
37.203,-38.701,-2.600,0.800,-0.900,-6.800,0.500
37.204,-36.901,-2.100,1.000,-0.600,-7.300,0.500
37.205,-35.301,-1.500,0.900,-0.700,-7.700,0.500
37.206,-34.201,-0.900,0.300,-1.100,-7.600,0.500
37.207,-33.801,-0.700,-0.700,-1.700,-6.700,0.500
37.208,-33.901,-0.800,-1.700,-2.300,-5.300,0.500
37.209,-34.301,-1.000,-2.100,-2.500,-4.000,0.500
37.210,-34.701,-1.100,-1.800,-2.500,-3.200,0.500
37.211,-35.201,-0.800,-1.000,-2.200,-3.200,0.500
37.212,-35.801,-0.400,-0.200,-2.000,-3.700,0.500
37.213,-36.501,-0.100,-0.100,-2.200,-4.600,0.500
37.214,-37.101,-0.300,-0.900,-3.000,-5.500,0.500
37.215,-37.901,-1.100,-2.200,-4.300,-6.200,0.500
37.216,-38.901,-2.400,-3.400,-5.800,-6.800,0.500
37.217,-40.501,-3.600,-4.000,-7.000,-7.100,0.500
37.218,-42.401,-4.400,-3.800,-7.500,-7.200,0.500
37.219,-44.001,-4.500,-3.000,-7.200,-7.200,0.500
37.220,-44.301,-4.100,-2.000,-6.500,-7.200,0.500
37.221,-42.401,-3.700,-1.400,-5.800,-7.200,0.500
37.222,-38.701,-3.500,-1.100,-5.200,-7.100,0.500
37.223,-34.401,-3.700,-0.900,-4.900,-6.500,0.500
37.224,-31.400,-4.000,-0.500,-4.400,-5.400,0.500
37.225,-31.000,-4.000,0.400,-3.600,-3.900,0.500
37.226,-33.001,-3.400,1.700,-2.100,-2.500,0.500
37.227,-35.501,-2.200,2.900,-0.300,-1.600,0.500
37.228,-36.701,-1.000,3.800,1.000,-1.700,0.500
37.229,-35.401,-0.400,3.900,1.500,-2.500,0.500
37.230,-32.400,-0.700,3.400,0.700,-3.500,0.500
37.231,-29.500,-1.900,2.600,-0.800,-4.200,0.500
37.232,-28.500,-3.300,1.800,-2.500,-4.200,0.500
37.233,-29.700,-4.400,1.500,-3.400,-3.700,0.500
37.234,-31.800,-4.700,1.700,-3.200,-3.000,0.500
37.235,-33.401,-4.200,2.100,-2.300,-2.900,0.500
37.236,-33.501,-3.400,2.300,-1.200,-3.600,0.500
37.237,-32.700,-2.900,2.100,-0.600,-4.900,0.500
37.238,-32.400,-3.000,1.500,-0.800,-6.000,0.500
37.239,-33.301,-3.400,0.700,-1.500,-6.500,0.500
37.240,-34.901,-3.700,0.400,-2.100,-5.900,0.500
37.241,-35.701,-3.500,0.800,-2.100,-4.400,0.500
37.242,-34.301,-2.400,2.100,-1.300,-2.700,0.500
37.243,-30.600,-0.700,3.900,0.100,-1.200,0.500
37.244,-26.000,1.100,5.600,1.600,-0.500,0.500
37.245,-22.900,2.300,6.500,2.800,-0.700,0.500
37.246,-22.700,2.700,6.400,3.200,-1.400,0.500
37.247,-25.500,2.300,5.200,2.900,-2.300,0.500
37.248,-29.800,1.300,3.300,2.000,-2.800,0.500
37.249,-33.701,0.200,1.100,0.700,-3.000,0.500
37.250,-35.801,-0.700,-0.700,-0.600,-3.000,0.500
37.251,-35.601,-1.600,-2.100,-1.800,-3.100,0.500
37.252,-34.001,-2.400,-3.000,-2.800,-3.700,0.500
37.253,-32.100,-3.500,-3.600,-3.800,-4.800,0.500
37.254,-31.300,-4.800,-4.200,-4.900,-6.300,0.500
37.255,-32.200,-6.400,-4.700,-6.000,-7.800,0.500
37.256,-34.601,-8.000,-5.200,-7.100,-8.800,0.500
37.257,-37.601,-9.400,-5.300,-7.700,-9.000,0.500
37.258,-39.501,-10.200,-4.900,-7.500,-8.300,0.500
37.259,-38.701,-10.300,-3.900,-6.300,-6.800,0.500
37.260,-34.401,-9.500,-2.500,-4.500,-5.100,0.500
37.261,-27.100,-8.000,-1.000,-2.500,-3.300,0.500
37.262,-18.600,-6.300,0.300,-1.100,-1.800,0.500
37.263,-10.700,-4.600,1.500,-0.500,-0.400,0.500
37.264,-4.900,-3.400,2.700,-0.500,1.300,0.500
37.265,-1.200,-2.500,4.400,-0.300,3.900,0.500
37.266,1.400,-1.400,7.000,0.900,7.800,0.500
37.267,4.400,0.600,10.700,3.700,13.300,0.500
37.268,9.300,3.900,15.400,8.200,19.600,0.500
37.269,16.700,8.400,20.300,13.400,26.000,0.500
37.270,26.100,13.400,24.500,18.300,30.900,0.500
37.271,36.501,17.600,26.900,21.600,33.601,0.500
37.272,46.001,20.000,27.000,22.900,33.701,0.500
37.273,53.001,20.000,24.800,22.200,31.600,0.500
37.274,55.901,17.800,21.000,20.100,28.300,0.500
37.275,53.901,14.400,16.700,17.400,24.400,0.500
37.276,47.401,11.100,12.900,14.800,20.400,0.500
37.277,37.301,8.500,9.900,12.200,16.000,0.500
37.278,25.100,6.800,7.500,9.600,10.900,0.500
37.279,12.000,5.200,4.700,6.500,4.900,0.500
37.280,-1.300,3.100,1.000,2.600,-1.600,0.500
37.281,-14.700,0.100,-3.500,-1.800,-7.800,0.500
37.282,-28.100,-3.600,-8.000,-5.900,-12.800,0.500
37.283,-41.301,-7.100,-11.400,-9.100,-16.000,0.500
37.284,-53.501,-9.600,-13.200,-10.800,-17.400,0.500
37.285,-63.801,-10.800,-13.400,-11.100,-17.400,0.500
37.286,-71.501,-11.000,-12.700,-10.300,-16.700,0.500
37.287,-76.101,-10.600,-11.900,-9.300,-15.800,0.500
37.288,-77.901,-10.400,-11.500,-8.400,-14.700,0.500
37.289,-77.301,-10.300,-11.400,-8.000,-13.500,0.500
37.290,-74.801,-10.100,-11.200,-7.700,-11.900,0.500
37.291,-70.901,-9.500,-10.200,-7.100,-10.000,0.500
37.292,-65.901,-8.300,-8.400,-5.800,-7.900,0.500
37.293,-60.401,-6.600,-6.000,-3.900,-5.900,0.500
37.294,-54.701,-4.900,-3.400,-1.900,-4.200,0.500
37.295,-49.301,-3.400,-1.000,-0.200,-2.800,0.500
37.296,-44.601,-2.300,0.800,0.900,-1.800,0.500
37.297,-40.801,-1.500,2.000,1.600,-1.000,0.500
37.298,-37.701,-0.600,2.500,2.000,-0.100,0.500
37.299,-35.201,0.400,2.500,2.700,0.900,0.500
37.300,-32.901,1.200,2.100,3.600,1.900,0.500
37.301,-30.700,1.500,1.600,4.500,2.900,0.500
37.302,-28.500,1.300,1.300,5.100,3.600,0.500
37.303,-26.600,0.500,1.300,5.100,3.900,0.500
37.304,-25.200,-0.400,1.500,4.300,3.600,0.500
37.305,-24.200,-1.000,1.600,3.000,2.800,0.500
37.306,-23.600,-1.200,1.400,1.800,1.800,0.500
37.307,-23.400,-1.200,0.800,0.900,0.900,0.500
37.308,-23.400,-1.500,-0.100,0.500,0.400,0.500
37.309,-23.800,-2.100,-0.900,0.500,0.500,0.500
37.310,-24.400,-3.000,-1.100,0.700,1.200,0.500
37.311,-25.100,-3.600,-0.400,0.800,2.100,0.500
37.312,-25.600,-3.700,0.900,0.700,2.800,0.500
37.313,-25.700,-3.300,2.100,0.400,2.800,0.500
37.314,-25.200,-2.700,2.700,0.000,2.100,0.500
37.315,-24.100,-2.600,2.100,-0.400,0.800,0.500
37.316,-22.800,-3.100,0.600,-0.900,-0.300,0.500
37.317,-21.400,-4.200,-1.200,-1.200,-0.700,0.500
37.318,-20.400,-5.100,-2.500,-1.300,-0.400,0.500
37.319,-19.700,-5.400,-2.600,-1.300,0.300,0.500
37.320,-19.400,-4.800,-1.600,-1.100,1.000,0.500
37.321,-19.600,-3.800,-0.100,-1.100,1.300,0.500
37.322,-20.200,-3.000,1.400,-1.300,1.200,0.500
37.323,-21.200,-2.900,2.200,-1.800,1.000,0.500
37.324,-22.200,-3.700,2.500,-2.200,1.000,0.500
37.325,-23.200,-4.800,2.400,-2.500,1.400,0.500
37.326,-23.800,-5.700,2.300,-2.300,2.000,0.500
37.327,-23.900,-6.100,2.200,-1.800,2.300,0.500
37.328,-23.700,-6.000,1.900,-1.100,2.200,0.500
37.329,-23.400,-5.700,1.400,-0.500,1.700,0.500
37.330,-23.100,-5.700,0.700,-0.300,1.200,0.500
37.331,-23.000,-6.000,0.000,-0.600,1.200,0.500
37.332,-23.200,-6.500,-0.300,-1.100,1.600,0.500
37.333,-23.400,-6.900,0.000,-1.800,2.200,0.500
37.334,-23.500,-7.100,0.900,-2.300,2.600,0.500
37.335,-23.500,-6.900,1.900,-2.500,2.600,0.500
37.336,-23.500,-6.900,2.500,-2.400,2.200,0.500
37.337,-23.900,-7.300,2.600,-2.300,1.500,0.500
37.338,-24.400,-8.300,2.200,-2.400,0.800,0.500
37.339,-24.900,-9.600,1.500,-2.900,0.200,0.500
37.340,-25.000,-10.900,0.700,-3.800,0.000,0.500
37.341,-24.800,-11.600,0.200,-4.500,0.000,0.500
37.342,-24.500,-11.400,0.000,-4.900,0.300,0.500
37.343,-24.600,-10.500,0.200,-4.600,0.900,0.500
37.344,-25.100,-9.100,0.800,-3.700,1.700,0.500
37.345,-25.500,-7.700,1.700,-2.600,2.800,0.500
37.346,-25.100,-6.700,2.900,-1.400,3.800,0.500
37.347,-23.200,-6.100,4.000,-0.600,4.700,0.500
37.348,-20.200,-5.600,4.700,-0.100,5.200,0.500
37.349,-17.200,-5.100,4.900,-0.200,5.200,0.500
37.350,-15.700,-4.700,4.300,-0.700,4.500,0.500
37.351,-16.400,-4.600,2.800,-1.700,3.200,0.500
37.352,-18.900,-5.200,0.500,-3.100,1.500,0.500
37.353,-21.500,-6.500,-2.000,-4.500,-0.200,0.500
37.354,-22.700,-8.500,-4.100,-5.700,-1.500,0.500
37.355,-21.700,-10.400,-5.400,-6.200,-2.100,0.500
37.356,-19.000,-11.700,-5.600,-6.000,-2.100,0.500
37.357,-16.200,-12.100,-5.000,-5.300,-2.000,0.500
37.358,-14.800,-11.700,-4.100,-4.600,-2.000,0.500
37.359,-15.400,-11.000,-3.700,-4.300,-2.500,0.500
37.360,-17.900,-10.600,-3.800,-4.600,-3.400,0.500
37.361,-21.000,-10.700,-4.200,-5.300,-4.300,0.500
37.362,-23.400,-11.100,-4.500,-5.700,-4.700,0.500
37.363,-24.100,-11.500,-4.400,-5.600,-4.300,0.500
37.364,-22.900,-11.400,-3.800,-4.900,-3.300,0.500
37.365,-20.400,-10.600,-3.300,-3.700,-2.100,0.500
37.366,-17.900,-9.500,-3.000,-2.800,-1.300,0.500
37.367,-16.700,-8.500,-3.200,-2.400,-1.100,0.500
37.368,-17.400,-7.900,-3.500,-2.700,-1.200,0.500
37.369,-19.600,-8.100,-3.400,-3.400,-1.300,0.500
37.370,-21.900,-8.700,-2.700,-3.900,-1.200,0.500
37.371,-22.700,-9.500,-1.600,-3.900,-0.800,0.500
37.372,-21.200,-10.300,-0.800,-3.400,-0.300,0.500
37.373,-18.000,-10.800,-0.900,-2.700,0.000,0.500
37.374,-14.900,-11.000,-1.800,-2.100,0.000,0.500
37.375,-13.800,-11.000,-2.900,-1.700,-0.200,0.500
37.376,-15.200,-10.700,-3.600,-1.500,-0.200,0.500
37.377,-17.800,-10.100,-3.200,-1.100,0.000,0.500
37.378,-19.800,-9.400,-2.000,-0.700,0.500,0.500
37.379,-19.900,-9.000,-0.600,-0.400,1.100,0.500
37.380,-18.300,-8.900,0.300,-0.300,1.500,0.500
37.381,-16.700,-9.200,0.100,-0.600,1.400,0.500
37.382,-16.800,-9.700,-0.700,-1.400,0.900,0.500
37.383,-19.000,-10.000,-1.700,-2.300,0.200,0.500
37.384,-21.700,-10.000,-2.300,-3.200,-0.600,0.500
37.385,-23.000,-9.700,-2.400,-4.000,-1.200,0.500
37.386,-21.600,-9.400,-2.100,-4.700,-1.900,0.500
37.387,-18.300,-9.300,-1.900,-5.400,-2.500,0.500
37.388,-15.200,-9.700,-1.900,-6.200,-3.100,0.500
37.389,-14.500,-10.200,-2.000,-6.800,-3.400,0.500
37.390,-16.600,-10.400,-2.000,-6.900,-3.400,0.500
37.391,-19.800,-10.100,-1.700,-6.400,-3.000,0.500
37.392,-21.900,-9.300,-1.100,-5.100,-2.200,0.500
37.393,-21.400,-8.100,-0.300,-3.700,-1.300,0.500
37.394,-18.700,-7.100,0.400,-2.500,-0.900,0.500
37.395,-15.700,-6.400,0.800,-1.800,-0.900,0.500
37.396,-14.400,-6.100,1.100,-1.700,-1.500,0.500
37.397,-15.600,-6.000,1.400,-1.900,-2.100,0.500
37.398,-18.400,-6.100,1.600,-2.200,-2.400,0.500
37.399,-21.000,-6.200,1.900,-2.400,-2.100,0.500
37.400,-22.100,-6.400,2.200,-2.500,-1.200,0.500
37.401,-21.500,-6.600,2.100,-2.800,-0.100,0.500
37.402,-19.900,-7.000,1.900,-3.200,0.700,0.500
37.403,-18.200,-7.300,1.600,-3.700,1.000,0.500
37.404,-16.600,-7.500,1.500,-4.100,0.800,0.500
37.405,-15.000,-7.500,1.600,-4.400,0.200,0.500
37.406,-13.300,-7.400,2.100,-4.600,-0.300,0.500
37.407,-11.700,-7.300,2.800,-4.900,-0.700,0.500
37.408,-11.200,-7.300,3.400,-5.500,-0.800,0.500
37.409,-12.100,-7.600,3.600,-6.300,-0.800,0.500
37.410,-14.300,-8.000,3.300,-7.000,-0.700,0.500
37.411,-16.500,-8.400,2.700,-7.300,-0.500,0.500
37.412,-17.600,-8.600,2.000,-7.000,-0.200,0.500
37.413,-16.900,-8.600,1.400,-6.200,0.300,0.500
37.414,-14.700,-8.300,1.200,-5.300,0.800,0.500
37.415,-12.200,-7.900,1.200,-4.400,1.300,0.500
37.416,-10.500,-7.400,1.500,-3.900,1.600,0.500
37.417,-10.100,-6.900,1.800,-3.600,1.700,0.500
37.418,-10.700,-6.400,2.200,-3.600,1.700,0.500
37.419,-11.700,-5.900,2.600,-3.800,1.700,0.500
37.420,-12.700,-5.600,3.200,-4.200,1.900,0.500
37.421,-13.400,-5.600,3.800,-4.800,2.100,0.500
37.422,-14.100,-6.200,4.600,-5.600,2.200,0.500
37.423,-14.600,-7.300,5.200,-6.400,2.000,0.500
37.424,-14.700,-8.600,5.600,-6.700,1.600,0.500
37.425,-14.000,-9.400,5.800,-6.500,1.200,0.500
37.426,-12.400,-9.500,5.600,-5.900,0.900,0.500
37.427,-10.300,-8.700,5.300,-5.100,0.900,0.500
37.428,-8.200,-7.500,4.800,-4.400,0.900,0.500
37.429,-7.000,-6.300,4.400,-4.300,0.800,0.500
37.430,-7.100,-5.700,4.100,-4.600,0.600,0.500
37.431,-8.200,-5.700,4.000,-5.200,0.300,0.500
37.432,-10.100,-5.900,4.100,-5.400,0.500,0.500
37.433,-12.000,-5.600,4.700,-5.000,1.600,0.500
37.434,-13.500,-4.400,5.600,-3.500,3.400,0.500
37.435,-14.500,-2.300,6.800,-1.200,5.700,0.500
37.436,-14.700,0.300,7.900,1.400,7.800,0.500
